elapsedSeconds,label,totalPssKb,totalRssKb,nativeHeapKb,javaHeapKb,graphicsKb,eglKb,glMtrackKb,webViews,mapInstances,canvasCount,webglContexts,styleLoads,sourceCreations,layerCreations,sourceUpdates,radarImageUpdates,product,radarFrameId,cameraMode
0,start,404504,530628,77812,17316,177928,mtrack,mtrack,1,1,1,1,1,4,5,37,0,REF,KSGF20260729_212245_V06-REF,FOLLOW_NORTH
12,t0,707829,835552,192920,16168,361808,mtrack,mtrack,1,1,1,1,1,4,5,43,0,CC,KSGF20260729_212245_V06-REF,FOLLOW_HEADING
300,t300,637549,769680,100892,16108,391612,mtrack,mtrack,1,1,1,1,1,4,5,424,94,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
613,t600,539459,645964,83676,15888,319232,mtrack,mtrack,1,1,1,1,1,4,5,849,198,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
901,t900,527095,619552,74764,12168,320472,mtrack,mtrack,1,1,1,1,1,4,5,1244,294,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
1201,t1200,637100,713693,61232,13416,427993,mtrack,mtrack,1,1,1,1,1,4,5,1642,394,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
1500,t1500,658694,726056,58764,15296,452316,mtrack,mtrack,1,1,1,1,1,4,5,2040,494,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
1803,t1800,527786,585108,58392,14768,326980,mtrack,mtrack,1,1,1,1,1,4,5,2441,594,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
1800,t1800-final,515694,573016,57684,11632,318780,mtrack,mtrack,1,1,1,1,1,4,5,2441,594,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
1920,idle-plus-120s,490592,548324,58960,12144,292096,mtrack,mtrack,1,1,1,1,1,4,5,2498,594,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
