"Category","Path"
"A. production source/configuration required for Atlas",".gitignore"
"A. production source/configuration required for Atlas","android/.gitignore"
"A. production source/configuration required for Atlas","android/app/.gitignore"
"A. production source/configuration required for Atlas","android/app/capacitor.build.gradle"
"A. production source/configuration required for Atlas","android/app/proguard-rules.pro"
"A. production source/configuration required for Atlas","android/app/src/androidTest/java/com/getcapacitor/myapp/ExampleInstrumentedTest.java"
"A. production source/configuration required for Atlas","android/app/src/main/AndroidManifest.xml"
"A. production source/configuration required for Atlas","android/app/src/main/assets/recon-ref.png"
"A. production source/configuration required for Atlas","android/app/src/main/java/com/codeblackwx/ops/MainActivity.java"
"A. production source/configuration required for Atlas","android/app/src/main/java/com/codeblackwx/ops/recon/NativeMapboxReconActivity.java"
"A. production source/configuration required for Atlas","android/app/src/main/res/drawable/ic_launcher_background.xml"
"A. production source/configuration required for Atlas","android/app/src/main/res/drawable/splash.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/drawable-land-hdpi/splash.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/drawable-land-mdpi/splash.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/drawable-land-xhdpi/splash.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/drawable-land-xxhdpi/splash.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/drawable-land-xxxhdpi/splash.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/drawable-port-hdpi/splash.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/drawable-port-mdpi/splash.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/drawable-port-xhdpi/splash.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/drawable-port-xxhdpi/splash.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/drawable-port-xxxhdpi/splash.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/drawable-v24/ic_launcher_foreground.xml"
"A. production source/configuration required for Atlas","android/app/src/main/res/layout/activity_main.xml"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-hdpi/ic_launcher.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-hdpi/ic_launcher_foreground.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-hdpi/ic_launcher_round.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-mdpi/ic_launcher.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-mdpi/ic_launcher_foreground.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-mdpi/ic_launcher_round.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-xhdpi/ic_launcher.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-xhdpi/ic_launcher_foreground.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-xhdpi/ic_launcher_round.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-xxhdpi/ic_launcher_foreground.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-xxhdpi/ic_launcher_round.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-xxxhdpi/ic_launcher_foreground.png"
"A. production source/configuration required for Atlas","android/app/src/main/res/mipmap-xxxhdpi/ic_launcher_round.png"
